2023-02-02 15:39:59,246 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:41:21,736 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:41:31,744 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:41:32,750 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:41:32,753 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:41:42,763 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:41:43,769 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:41:43,770 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:41:53,782 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:41:54,789 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:43:25,866 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:43:35,882 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:43:36,885 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:43:36,887 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:43:46,903 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:43:47,909 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:43:47,911 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:43:57,919 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:43:58,923 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:44:16,669 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:44:16,671 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:44:16,678 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:44:20,603 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:44:20,603 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:44:20,604 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:44:20,606 | MainThread   | [ERROR   ] | <module>            |: error
